"","type","title","subtitle","from","date","link"
"93","News story","Plan for Jobs: Chancellor increases financial support for businesses and workers","The government today announced it will significantly increase the generosity and reach of its winter support schemes to ensure livelihoods and jobs across the UK continue to be protected in the difficult months to come, supporting jobs and helping to contain the virus.","HM Treasury",2020-10-22,"https://www.gov.uk/government/news/plan-for-jobs-chancellor-increases-financial-support-for-businesses-and-workers"
"94","Press release","Public encouraged to register for COVID-19 vaccine trials as 100,000 already sign-up","Over 100,000 people have volunteered to take part in COVID-19 vaccine trials, helping to speed up efforts to discover a safe and effective vaccine.","Department for Business, Energy & Industrial Strategy and The Rt Hon Alok Sharma MP",2020-08-17,"https://www.gov.uk/government/news/public-encouraged-to-register-for-covid-19-vaccine-trials-as-100000-already-sign-up"
"95","Press release","Festive travel tips for people considering overseas travel","People thinking about going abroad over the festive period should read the advice from the Foreign, Commonwealth & Development Office (FCDO).","Foreign, Commonwealth & Development Office and Nigel Adams MP",2020-12-02,"https://www.gov.uk/government/news/festive-travel-tips-for-people-considering-overseas-travel"
"96","Correspondence","Coronavirus (COVID-19): Letters from Kelly Tolhurst to caravan and park home owners","Letters from Kelly Tolhurst, Minister for Rough Sleeping and Housing, to trade bodies representing caravan and park home site owners.","Ministry of Housing, Communities & Local Government and Kelly Tolhurst MP",2020-11-04,"https://www.gov.uk/government/publications/coronavirus-covid-19-letter-from-kelly-tolhurst-to-caravan-and-park-home-owners"
"97","News story","Increase to Working Tax Credits - what this means","The government has announced that Working Tax Credits payments will be increased from 6 April 2020 - find out what's happening and who this affects.","HM Revenue & Customs",2020-03-23,"https://www.gov.uk/government/news/increase-to-working-tax-credits-what-this-means"
"98","News story","New guidance for households with possible COVID-19 infection","Next stage of COVID-19 public information campaign highlights guidance for households with possible infection.","Department of Health and Social Care and Public Health England",2020-03-17,"https://www.gov.uk/government/news/new-guidance-for-households-with-possible-covid-19-infection"
"99","News story","Further details of the Job Retention Bonus announced","Further details of how jobs will be protected through the government’s new Job Retention Bonus were unveiled by HMRC today.","HM Treasury",2020-07-31,"https://www.gov.uk/government/news/further-details-of-the-job-retention-bonus-announced"
"100","Press release","Government's Vaccines Taskforce has worked ""decisively"" and at ""great pace"" to improve UK's pandemic preparedness","Government has published a report highlighting the work and achievements of its Vaccines Taskforce (VTF).","Department for Business, Energy & Industrial Strategy, Prime Minister's Office, 10 Downing Street, Medicines and Healthcare products Regulatory Agency, The Rt Hon Alok Sharma MP, and The Rt Hon Boris Johnson MP",2020-12-08,"https://www.gov.uk/government/news/governments-vaccines-taskforce-has-worked-decisively-and-at-great-pace-to-improve-uks-pandemic-preparedness"
"101","Press release","Community testing to help lift restrictions in highest tiers","Details have been set out by the Government to help local areas detect asymptomatic cases and offer a route out of the toughest restrictions.","Prime Minister's Office, 10 Downing Street, Department of Health and Social Care, and The Rt Hon Matt Hancock MP",2020-11-30,"https://www.gov.uk/government/news/community-testing-to-help-lift-restrictions-in-highest-tiers"
"102","News story","Canary Islands, Denmark, Maldives and Mykonos added to travel corridor exempt list","From 4am Sunday 25 October, people arriving in England from the Canary Islands, Denmark, the Maldives and Mykonos will not need to self-isolate.","Department for Transport and Foreign, Commonwealth & Development Office",2020-10-22,"https://www.gov.uk/government/news/canary-islands-denmark-maldives-and-mykonos-added-to-travel-corridor-exempt-list"
"103","Speech","Prime Minister's statement on coronavirus (COVID-19): 23 March 2020","Prime Minister Boris Johnson addressed the nation on coronavirus.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-03-23,"https://www.gov.uk/government/speeches/pm-address-to-the-nation-on-coronavirus-23-march-2020"
"104","Press release","Childcare to be exempt from interhousehold mixing restrictions in local areas of intervention","Informal childcare and caring arrangements will be allowed to continue across the nation, the Health Secretary has announced today.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-09-21,"https://www.gov.uk/government/news/childcare-to-be-exempt-from-interhousehold-mixing-restrictions-in-local-areas-of-intervention"
"105","News story","Coronavirus: Environment Agency update","The Environment Agency’s priority is to protect people and the environment, and to support those we regulate during the coronavirus pandemic.","Environment Agency and Department for Environment, Food & Rural Affairs",2020-06-02,"https://www.gov.uk/government/news/coronavirus-environment-agency-update"
"106","News story","COVID-19 Guidance:  Information for NI Businesses & Employers","Coronavirus (COVID-19): Information for businesses and employers in Northern Ireland","Northern Ireland Office, HM Treasury, and Prime Minister's Office, 10 Downing Street",2020-03-21,"https://www.gov.uk/government/news/covid-19-guidance-information-for-ni-businesses-employers"
"107","Press release","New guidance to support safe care home visits during lockdown","Care homes will be encouraged and supported to provide safe visiting opportunities as new national restrictions come into effect.","Department of Health and Social Care",2020-11-04,"https://www.gov.uk/government/news/new-guidance-to-support-safe-care-home-visits-during-lockdown"
"108","Press release","Companies to receive 3-month extension period to file accounts during COVID-19","Businesses will be given an additional 3 months to file accounts with Companies House to help companies avoid penalties as they deal with the impact of COVID-19.","Department for Business, Energy & Industrial Strategy, Companies House , and The Rt Hon Alok Sharma MP",2020-03-25,"https://www.gov.uk/government/news/companies-to-receive-3-month-extension-period-to-file-accounts-during-covid-19"
"109","News story","Pfizer/BioNTech COVID-19 vaccine: MHRA statement","The safety of the public will always come first.","Medicines and Healthcare products Regulatory Agency",2020-11-18,"https://www.gov.uk/government/news/pfizer-biontech-covid-19-vaccine-mhra-statement"
"110","Press release","Coronavirus (COVID-19): Cancellation and refund updates","The CMA has today published further detail on its views on the law in relation to cancellations and refunds during the pandemic.","Competition and Markets Authority",2020-08-28,"https://www.gov.uk/government/news/coronavirus-covid-19-cancellation-and-refund-updates"
"111","Press release","Government launches new drive on coronavirus tests for frontline NHS staff","NHS staff will be first in line for a new coronavirus (COVID-19) testing programme being developed in collaboration with government and industry.","Department of Health and Social Care",2020-03-27,"https://www.gov.uk/government/news/government-launches-new-drive-on-coronavirus-tests-for-frontline-nhs-staff"
"112","Press release","Local COVID-19 alert level update: 15 October 2020","The following areas will move from local COVID alert level: medium to local COVID alert level: high from Saturday.","Department of Health and Social Care",2020-10-15,"https://www.gov.uk/government/news/local-covid-19-alert-level-update-15-october-2020"
"113","Press release","Coronavirus testing extended to all essential workers in England who have symptoms","All essential workers in England and members of their households who are showing symptoms of coronavirus will now be able to get tested.","Department of Health and Social Care",2020-04-23,"https://www.gov.uk/government/news/coronavirus-testing-extended-to-all-essential-workers-in-england-who-have-symptoms"
